id,text,fact_expressions,query_expressions,answer_expressions,fact_spans,query_spans
1068,"设$A$、$B$分别是抛物线$y^{2}=4 x$和圆$C$:$(x-4)^{2}+y^{2}=1$上的点,若存在实数$\lambda$使得$\overrightarrow{A B}=\lambda \overrightarrow{B C}$，则$|\lambda|$的最小值为?","G: Parabola;C: Circle;A: Point;B: Point;Expression(G) = (y^2 = 4*x);Expression(C) = (y^2 + (x - 4)^2 = 1);PointOnCurve(A,G);PointOnCurve(B,C);lambda:Real;VectorOf(A,B)=lambda*VectorOf(B,C)",Min(Abs(lambda)),2*sqrt(3)-1,"[[[11, 25]], [[26, 50]], [[1, 4]], [[5, 8]], [[11, 25]], [[26, 50]], [[1, 53]], [[1, 53]], [[57, 68], [123, 134]], [[70, 121]]]","[[[123, 140]]]"
11989,已知$P$是抛物线$y^{2}=4 x$上的动点，$F$是抛物线的焦点，则线段$P F$的中点轨迹方程是?,"G: Parabola;Expression(G) = (y^2 = 4*x);P: Point;PointOnCurve(P, G);F: Point;Focus(G) = F","LocusEquation(MidPoint(LineSegmentOf(P, F)))",y^2=2*x-1,"[[[6, 20], [29, 32]], [[6, 20]], [[2, 5]], [[2, 24]], [[25, 28]], [[25, 35]]]","[[[37, 53]]]"
6291,"已知点$P$为双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$右支上一点，$F_{1}$、$F_{2}$分别为双曲线的左，右焦点，且$|F_{1} F_{2}|=\frac{b^{2}}{a}$, $I$为$\Delta P F_{1} F_{2}$的内心，若$S_{\Delta I P F_{1}}=S_{\Delta I P F_{2}}+\lambda S_{\Delta I F_{1} F_{2}}$成立，则$\lambda$的值为?","P: Point;PointOnCurve(P, RightPart(G)) = True;G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;F1: Point;F2: Point;LeftFocus(G) = F1;RightFocus(G) = F2;Abs(LineSegmentOf(F1, F2)) = b^2/a;I: Point;Incenter(TriangleOf(P,F1,F2)) = I;Area(TriangleOf(I,P,F1))=Area(TriangleOf(I,P,F2))+lambda*Area(TriangleOf(I,F1,F2));lambda: Number",lambda,sqrt(2) - 1,"[[[2, 6]], [[2, 68]], [[7, 63], [87, 90]], [[7, 63]], [[10, 63]], [[10, 63]], [[10, 63]], [[10, 63]], [[69, 76]], [[77, 84]], [[69, 96]], [[69, 96]], [[98, 129]], [[131, 134]], [[131, 160]], [[162, 238]], [[242, 251]]]","[[[242, 255]]]"
8015,"双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a, b>0)$的左、右焦点分别为$F_{1}$ , $F_{2}$，过焦点$F_{2}$且垂直于$x$轴的弦为$AB$，若$\angle A F_{1} B=90^{\circ}$，则双曲线的离心率为?","G: Hyperbola;b: Number;a: Number;A: Point;B: Point;F1: Point;F2: Point;b>0;a>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(G) = F1;RightFocus(G) = F2;IsPerpendicular(LineSegmentOf(A,B),xAxis);PointOnCurve(F2,LineSegmentOf(A,B));AngleOf(A, F1, B) = ApplyUnit(90, degree);IsChordOf(LineSegmentOf(A,B),G)",Eccentricity(G),sqrt(2)+1,"[[[0, 54], [139, 142]], [[3, 54]], [[3, 54]], [[102, 106]], [[102, 106]], [[63, 70]], [[84, 91], [72, 80]], [[3, 54]], [[3, 54]], [[0, 54]], [[0, 80]], [[0, 80]], [[92, 106]], [[81, 106]], [[108, 137]], [[0, 106]]]","[[[139, 148]]]"
10860,若双曲线方程为$x^{2}-y^{2}=1$，则双曲线的焦点坐标是?,G: Hyperbola;Expression(G) = (x^2 - y^2 = 1),Coordinate(Focus(G)),"(pm*sqrt(2),0)","[[[1, 4], [24, 27]], [[1, 22]]]","[[[24, 34]]]"
868,"已知抛物线$y=\frac{1}{4} x^{2}$的焦点为$F$，准线为$l$，若$l$与双曲线$\frac{y^{2}}{a^{2}}-\frac{x^{2}}{b^{2}}=1(a>0, b>0)$的两条渐近线分别交于点$A$和点$B$，且$|A B|=4|O F|$($O$为原点)，则双曲线的离心率为?","G: Hyperbola;b: Number;a: Number;H: Parabola;A: Point;B: Point;O: Origin;F: Point;l: Line;a>0;b>0;Expression(G) = (-x^2/b^2 + y^2/a^2 = 1);Expression(H) = (y = x^2/4);Focus(H) = F;Directrix(H) = l;L1:Line;L2:Line;Asymptote(G)={L1,L2};Intersection(l, L1) = A;Intersection(l,L2)=B;Abs(LineSegmentOf(A, B)) = 4*Abs(LineSegmentOf(O, F))",Eccentricity(G),sqrt(5),"[[[46, 102], [147, 150]], [[49, 102]], [[49, 102]], [[2, 26]], [[112, 116]], [[117, 121]], [[138, 141]], [[30, 33]], [[37, 40], [42, 45]], [[49, 102]], [[49, 102]], [[46, 102]], [[2, 26]], [[2, 33]], [[2, 40]], [], [], [[46, 108]], [[42, 121]], [[42, 121]], [[123, 137]]]","[[[147, 156]]]"
13440,已知椭圆$\frac{x^{2}}{m}+\frac{y^{2}}{4}=1$的离心率为$\frac{\sqrt {2}}{2}$，则此椭圆的长轴长为?,G: Ellipse;m: Number;Expression(G) = (y^2/4 + x^2/m = 1);Eccentricity(G) = sqrt(2)/2,Length(MajorAxis(G)),"{4, 4*sqrt(2)}","[[[2, 39], [68, 70]], [[4, 39]], [[2, 39]], [[2, 65]]]","[[[68, 76]]]"
2835,"抛物线$y^{2}=a x  (a \neq 0)$上的一点$P(-1,4)$到其焦点$F$的距离$|P F|$=?","G: Parabola;a: Number;P: Point;F: Point;Expression(G) = (y^2 = a*x);Negation(a=0);Coordinate(P) = (-1, 4);PointOnCurve(P, G);Focus(G) = F;Distance(P, F) = Abs(LineSegmentOf(P, F))","Abs(LineSegmentOf(P,F))",5,"[[[0, 26], [40, 41]], [[3, 26]], [[30, 39]], [[43, 46]], [[0, 26]], [[3, 26]], [[30, 39]], [[0, 39]], [[40, 47]], [[30, 56]]]","[[[49, 58]]]"
5635,抛物线$y^{2}=4 x$上一点$M$到焦点的距离为$2$，则点$M$的横坐标是?,"G: Parabola;Expression(G) = (y^2 = 4*x);M: Point;PointOnCurve(M, G);Distance(M, Focus(G)) = 2",XCoordinate(M),1,"[[[0, 14]], [[0, 14]], [[17, 20], [32, 36]], [[0, 20]], [[0, 30]]]","[[[32, 42]]]"
7251,"焦点为$(3,0)$的抛物线的标准方程是?","G: Parabola;H: Point;Coordinate(H) = (3, 0);Focus(G) = H",Expression(G),y^2 = 12*x,"[[[11, 14]], [[3, 10]], [[3, 10]], [[0, 14]]]","[[[11, 21]]]"
14001,"与双曲线$\frac{x^{2}}{9}-\frac{y^{2}}{16}=1$有共同的渐近线，并且过点$A(6,8 \sqrt{2})$的双曲线的标准方程为?","G: Hyperbola;A: Point;C:Hyperbola;Expression(G) = (x^2/9 - y^2/16 = 1);Coordinate(A) = (6, 8*sqrt(2));Asymptote(G)=Asymptote(C);PointOnCurve(A, C)",Expression(C),x^2/64-y^2/36=1,"[[[1, 40]], [[51, 69]], [[70, 73]], [[1, 40]], [[51, 69]], [[0, 73]], [[50, 73]]]","[[[70, 80]]]"
9222,已知椭圆的中心在原点，焦点在坐标轴上，且长轴长为$12$，离心率为$\frac{1}{3}$，则椭圆的方程为?,"G: Ellipse;O: Origin;Center(G) = O;PointOnCurve(Focus(G),axis);Length(MajorAxis(G)) = 12;Eccentricity(G)=1/3",Expression(G),"{x^2/36+y^2/32=1,x^2/32+y^2/36=1}","[[[2, 4], [48, 50]], [[8, 10]], [[2, 10]], [[2, 18]], [[2, 28]], [[2, 46]]]","[[[48, 55]]]"
12475,"点$P(8,1)$平分双曲线$x^{2}-4 y^{2}=4$的一条弦,则这条弦所在直线的斜率是?","P: Point;Coordinate(P) = (8, 1);G: Hyperbola;Expression(G) = (x^2 - 4*y^2 = 4);H: LineSegment;IsChordOf(H, G);MidPoint(H) = P",Slope(OverlappingLine(H)),2,"[[[0, 9]], [[0, 9]], [[11, 31]], [[11, 31]], [], [[11, 35]], [[0, 35]]]","[[[11, 49]]]"
1342,"已知双曲线方程是$x^{2}- \frac{y^{2}}{2}=1$，过定点$P(2,1)$作直线交双曲线于$P_{1}$、$P_{2}$两点，并使$P$为$P_{1} P_{2}$的中点，则此直线方程是?","G: Hyperbola;H: Line;P1: Point;P2: Point;P: Point;Coordinate(P) = (2, 1);Expression(G) = (x^2 - y^2/2 = 1);PointOnCurve(P, H);Intersection(H, G) = {P1, P2};MidPoint(LineSegmentOf(P1, P2)) = P",Expression(H),y = 4*x - 7,"[[[2, 5], [50, 53]], [[47, 49], [97, 99]], [[54, 61]], [[62, 69]], [[38, 46], [74, 77]], [[38, 46]], [[2, 34]], [[35, 49]], [[47, 71]], [[74, 94]]]","[[[97, 103]]]"
11677,"已知抛物线$C$的顶点坐标为原点，焦点在$x$轴上，直线$y=x$与抛物线$C$交于$A$、$B$两点，若$P(2 , 2)$为$A B$的中点，则抛物线$C$的方程为?","C: Parabola;O: Origin;Vertex(C) = O;PointOnCurve(Focus(C), xAxis) = True;G: Line;Expression(G) = (y = x);Intersection(G, C) = {A, B};A: Point;B: Point;P: Point;Coordinate(P) = (2, 2);MidPoint(LineSegmentOf(A, B)) = P",Expression(C),y^2=4*x,"[[[2, 8], [34, 40], [74, 80]], [[14, 16]], [[2, 16]], [[2, 25]], [[26, 33]], [[26, 33]], [[26, 51]], [[42, 45]], [[46, 49]], [[53, 63]], [[53, 63]], [[53, 72]]]","[[[74, 85]]]"
427,设抛物线$y^{2}=8 x$上一点$P$到$y$轴的距离是$4$，则点$P$到该抛物线焦点的距离是?,"G: Parabola;Expression(G) = (y^2 = 8*x);P: Point;PointOnCurve(P, G) = True;Distance(P, yAxis) = 4","Distance(P, Focus(G))",6,"[[[1, 15], [41, 44]], [[1, 15]], [[18, 21], [35, 39]], [[1, 21]], [[18, 33]]]","[[[35, 51]]]"
8168,"已知双曲线$C$: $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的右焦点为$F$，过原点的直线与双曲线$C$相交于$A$、$B$两点，连接$A F$, $B F$，若$|A F|=6$ ,$|B F|=8$ , $\angle A F B=\frac{\pi}{2}$，则该双曲线的离心率为?","C: Hyperbola;b: Number;a: Number;G: Line;A: Point;F: Point;B: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);RightFocus(C) = F;PointOnCurve(O, G);Intersection(G, C) = {A, B};Abs(LineSegmentOf(A, F)) = 6;Abs(LineSegmentOf(B, F)) = 8;AngleOf(A, F, B) = pi/2;O: Origin",Eccentricity(C),5,"[[[2, 63], [79, 85], [168, 171]], [[10, 63]], [[10, 63]], [[76, 78]], [[88, 91]], [[68, 71]], [[92, 95]], [[10, 63]], [[10, 63]], [[2, 63]], [[2, 71]], [[72, 78]], [[76, 97]], [[114, 123]], [[125, 134]], [[136, 165]], [[73, 75]]]","[[[168, 177]]]"
11004,"设$P$为双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0 , b>0)$上除顶点外的任意一点，$F_{1}$、$F_{2}$分别为左右焦点，$\Delta F_{1} PF_{2}$的内切圆交实轴于点$M$，则$|F_{1} M| \cdot| MF_{2} |$值为?","G: Hyperbola;b: Number;a: Number;F1: Point;P: Point;F2: Point;M: Point;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);PointOnCurve(P, G);Negation(P=Vertex(G));LeftFocus(G) = F1;RightFocus(G) = F2;Intersection(InscribedCircle(TriangleOf(F1, P, F2)), RealAxis(G)) = M","Abs(LineSegmentOf(F1, M))*Abs(LineSegmentOf(M, F2))",b^2,"[[[5, 62]], [[8, 62]], [[8, 62]], [[73, 80]], [[1, 4]], [[81, 88]], [[125, 129]], [[8, 62]], [[8, 62]], [[5, 62]], [[1, 72]], [[1, 72]], [[5, 95]], [[5, 95]], [[5, 129]]]","[[[131, 161]]]"
5181,$P$为椭圆$\frac{x^{2}}{5}+\frac{y^{2}}{4}=1$上的点，$F_{1}$、$F_{2}$是其两个焦点，若$\angle F_{1} P F_{2}=30^{\circ}$，则$\Delta F_{1} P F_{2}$的面积是?,"G: Ellipse;F1: Point;P: Point;F2: Point;Expression(G) = (x^2/5 + y^2/4 = 1);Focus(G)={F1,F2};PointOnCurve(P, G);AngleOf(F1, P, F2) = ApplyUnit(30, degree)","Area(TriangleOf(F1, P, F2))",8-4*sqrt(3),"[[[4, 41], [61, 62]], [[45, 52]], [[0, 3]], [[53, 60]], [[4, 41]], [[45, 66]], [[0, 44]], [[68, 101]]]","[[[103, 130]]]"
5092,抛物线$y^{2}=4 x$的焦点到准线的距离是?,G: Parabola;Expression(G) = (y^2 = 4*x),"Distance(Focus(G), Directrix(G))",2,"[[[0, 14]], [[0, 14]]]","[[[0, 25]]]"
9090,"抛物线$y^{2}=4 x$, 直线$l$经过该抛物线的焦点$F$与抛物线交于$A$、$B$两点 ($A$点在第一象限), 且$\overrightarrow{B A}=4 \overrightarrow{B F}$, 则三角形$A O B$($O$为坐标原点) 的面积为?","l: Line;G: Parabola;B: Point;A: Point;F: Point;O: Origin;Expression(G) = (y^2 = 4*x);Focus(G)=F;PointOnCurve(F,l);Intersection(l,G)={A,B};Quadrant(A)=1;VectorOf(B, A) = 4*VectorOf(B, F)","Area(TriangleOf(A,O,B))",4*sqrt(3)/3,"[[[16, 21]], [[0, 14], [34, 37], [24, 27]], [[43, 46]], [[39, 42], [50, 54]], [[30, 33]], [[122, 125]], [[0, 14]], [[24, 33]], [[16, 33]], [[16, 48]], [[50, 59]], [[63, 108]]]","[[[111, 137]]]"
2848,$F_{1}$、$F_{2}$是双曲线$\frac{x^{2}}{2}-y^{2}=1$的左、右焦点，过$F_{2}$的直线$l$与双曲线的右支交于$M$、$N$. 当$|F_{1} M|+|F_{1} N|$取最小值时，$\Delta F_{1} M N$的周长为?,"l: Line;G: Hyperbola;F1: Point;M: Point;N: Point;F2: Point;Expression(G) = (x^2/2 - y^2 = 1);LeftFocus(G) = F1;RightFocus(G) = F2;PointOnCurve(F2, l);Intersection(l, RightPart(G)) = {M, N};WhenMin(Abs(LineSegmentOf(F1,M))+Abs(LineSegmentOf(F1,N)))","Perimeter(TriangleOf(F1,M,N))",6*sqrt(2),"[[[60, 65]], [[16, 44], [66, 69]], [[0, 7]], [[74, 77]], [[78, 81]], [[8, 15], [52, 59]], [[16, 44]], [[0, 50]], [[0, 50]], [[51, 65]], [[60, 81]], [[83, 110]]]","[[[111, 134]]]"
13682,"双曲线$x^{2}-\frac{y^{2}}{3}=1$的右焦点为$F$，$O$为坐标原点, 以$F$为圆心，$F O$为半径的圆与此双曲线的两条渐近线分别交于点$A$，$B$(不同于$O$点)，则$|AB|$=?","G: Hyperbola;H: Circle;F: Point;O: Origin;A: Point;B: Point;Expression(G) = (x^2 - y^2/3 = 1);RightFocus(G) = F;Center(H)=F;Radius(H)=LineSegmentOf(F,O);L1:Line;L2:Line;Asymptote(G)={L1,L2};Intersection(L1,H)=A;Intersection(L2,H)=B;Negation(A=O);Negation(B=O)","Abs(LineSegmentOf(A, B))",2*sqrt(3),"[[[0, 28], [67, 70]], [[64, 65]], [[48, 51], [33, 36]], [[37, 40], [92, 96]], [[80, 84]], [[85, 88]], [[0, 28]], [[0, 36]], [[47, 65]], [[55, 65]], [], [], [[67, 76]], [[64, 88]], [[64, 88]], [[80, 97]], [[80, 97]]]","[[[99, 107]]]"
13620,"已知双曲线的右焦点为$(5,0)$，一条渐近线方程为$2 x-y=0$，则此双曲线的标准方程是?","G: Hyperbola;F: Point;Coordinate(F) = (5, 0);RightFocus(G) = F;Expression(OneOf(Asymptote(G))) = (2*x - y = 0)",Expression(G),x^2/5-y^2/20=1,"[[[2, 5], [38, 41]], [[10, 17]], [[10, 17]], [[2, 17]], [[2, 35]]]","[[[38, 48]]]"
2672,"椭圆$\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$的两个焦点为$F_{1}(-c, 0)$, $F_{2}(c, 0)$, $M$是椭圆上一点，满足$\overrightarrow{F_{1} M} \cdot \overrightarrow{F_{2} M}=0$，则离心率$e$的取值范围是?","G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a > b;b > 0;c: Number;F1: Point;F2: Point;Focus(G) = {F1, F2};Coordinate(F1) = (-c, 0);Coordinate(F2) = (c, 0);M: Point;PointOnCurve(M, G);DotProduct(VectorOf(F1, M), VectorOf(F2, M)) = 0;e: Number;Eccentricity(G) = e",Range(e),"[sqrt(2)/2, 1)","[[[0, 52], [93, 95]], [[0, 52]], [[2, 52]], [[2, 52]], [[2, 52]], [[2, 52]], [[58, 72]], [[58, 72]], [[74, 87]], [[0, 87]], [[58, 72]], [[74, 87]], [[89, 92]], [[89, 98]], [[101, 160]], [[165, 168]], [[93, 168]]]","[[[165, 175]]]"
12277,"双曲线$\frac{x^{2}}{9}-\frac{y^{2}}{16}=1$上有一点$P$到左准线的距离为$\frac{16}{5}$, 则$P$到右焦点的距离为?","G: Hyperbola;P: Point;Expression(G) = (x^2/9 - y^2/16 = 1);PointOnCurve(P, G);Distance(P, LeftDirectrix(G)) = 16/5","Distance(P, RightFocus(G))",34/3,"[[[0, 39]], [[43, 46], [71, 74]], [[0, 39]], [[0, 46]], [[0, 68]]]","[[[0, 83]]]"
5395,"设直线$x-3 y+m=0(m \neq 0)$与双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1  (a>b>0)$两条渐近线分别交于点$A$、$B$，若点$P(m, 0)$满足$|P A|=|P B|$, 则该双曲线的离心率是?","H: Line;Expression(H) = (m + x - 3*y = 0);m: Number;Negation(m=0);G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);a: Number;b: Number;a > b;b > 0;A: Point;B: Point;L1: Line;L2: Line;Asymptote(G) = {L1, L2};Intersection(H, L1) = A;Intersection(H, L2) = B;P: Point;Coordinate(P) = (m, 0);Abs(LineSegmentOf(P, A)) = Abs(LineSegmentOf(P, B))",Eccentricity(G),sqrt(5)/2,"[[[1, 24]], [[1, 24]], [[3, 24]], [[3, 24]], [[25, 80], [128, 131]], [[25, 80]], [[28, 80]], [[28, 80]], [[28, 80]], [[28, 80]], [[89, 93]], [[94, 97]], [], [], [[25, 85]], [[1, 97]], [[1, 97]], [[99, 109]], [[99, 109]], [[111, 124]]]","[[[128, 137]]]"
1845,已知椭圆$C$: $\frac{x^{2}}{4}+\frac{y^{2}}{3}=1$的左、右焦点分别为$F_{1}$、$F_{2}$，过$F_{2}$且倾斜角为$\frac{\pi}{4}$的直线$l$交椭圆$C$于$A$、$B$两点，则$\Delta F_{1} A B$的面积为?,"C: Ellipse;Expression(C) = (x^2/4 + y^2/3 = 1);F1: Point;F2: Point;LeftFocus(C) = F1;RightFocus(C) = F2;l: Line;PointOnCurve(F2, l);Inclination(l) = pi/4;A: Point;B: Point;Intersection(l, C) = {A, B}","Area(TriangleOf(F1, A, B))",12*sqrt(2)/7,"[[[2, 44], [104, 109]], [[2, 44]], [[53, 60]], [[61, 68], [70, 77]], [[2, 68]], [[2, 68]], [[98, 103]], [[69, 103]], [[78, 103]], [[110, 113]], [[114, 117]], [[98, 119]]]","[[[121, 144]]]"
9571,平面上的动点$P$到定点$F_{1}$、$F_{2}$距离之和等于$|F_{1} F_{2}|$，则点$P$的轨迹是?,"F1: Point;F2: Point;P: Point;Distance(P,F1) + Distance(P,F2) = Abs(LineSegmentOf(F1,F2))",Locus(P),"LineSegmentOf(F1,F2)","[[[12, 19]], [[20, 27]], [[6, 9], [50, 54]], [[6, 48]]]","[[[50, 59]]]"
9189,"若抛物线的顶点为坐标原点，焦点在$y$轴上，且经过点$(1,4)$, 则抛物线的方程为?","G: Parabola;O:Origin;H: Point;Coordinate(H) = (1, 4);Vertex(G)=O;PointOnCurve(Focus(G),yAxis);PointOnCurve(H,G)",Expression(G),x^2=(1/4)*y,"[[[1, 4], [1, 4]], [[8, 12]], [[25, 33]], [[25, 33]], [[1, 12]], [[1, 21]], [[1, 33]]]","[[[36, 44]]]"
8556,"已知点$M(4 , 2)$, $F$为抛物线$y^{2}=2 x$的焦点，点$P$在抛物线上移动，当$|PM|+|PF|$最小时，点$P$的坐标为?","G: Parabola;M: Point;P: Point;F: Point;Expression(G) = (y^2 = 2*x);Coordinate(M) = (4, 2);Focus(G) = F;PointOnCurve(P, G);WhenMin(Abs(LineSegmentOf(P,M))+Abs(LineSegmentOf(P,F)))",Coordinate(P),"(2,2)","[[[19, 33], [42, 45]], [[2, 13]], [[37, 41], [65, 69]], [[15, 18]], [[19, 33]], [[2, 13]], [[15, 36]], [[37, 46]], [[49, 64]]]","[[[65, 74]]]"
770,已知双曲线$C$: $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>b>0)$的左顶点为$A$，过$A$作双曲线两条渐近线的垂线，垂足分别为$M$、$N$，且$|M N|=\frac{4}{5}|O A| $($O$为坐标原点)，则此双曲线的离心率是?,"C: Hyperbola;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a > b;b > 0;A: Point;LeftVertex(C) = A;L1: Line;L2: Line;PointOnCurve(A, L1) = True;PointOnCurve(b, L2) = True;J1: Line;J2: Line;Asymptote(C) = {J1, J2};IsPerpendicular(L1, J1) = True;IsPerpendicular(L2, J2) = True;FootPoint(L1, J1) = M;FootPoint(L2, J2) = N;M: Point;N: Point;O: Origin;Abs(LineSegmentOf(M, N)) = (4/5)*Abs(LineSegmentOf(O, A))",Eccentricity(C),sqrt(5)/2,"[[[2, 60], [74, 77], [138, 141]], [[2, 60]], [[10, 60]], [[10, 60]], [[10, 60]], [[10, 60]], [[65, 68], [70, 73]], [[2, 68]], [], [], [[69, 85]], [[69, 85]], [], [], [[74, 82]], [[69, 85]], [[69, 85]], [[69, 98]], [[69, 98]], [[91, 94]], [[95, 98]], [[126, 129]], [[100, 125]]]","[[[138, 147]]]"
8623,"椭圆的长轴长是短轴长的$2$倍，它的一个焦点为$(\sqrt{3}, 0)$，则椭圆的标准方程是?","G: Ellipse;Length(MajorAxis(G)) =2*Length(MinorAxis(G));Coordinate(OneOf(Focus(G)))=(sqrt(3),0)",Expression(G),x^2/4+y^2=1,"[[[0, 2], [16, 17], [40, 42]], [[0, 15]], [16, 37]]","[[[40, 49]]]"
997,若直线$y=x+m$与双曲线$\frac{x^{2}}{4}-y^{2}=1$有两个公共点，则实数$m$的取值范围是?,"G: Hyperbola;H: Line;m: Real;Expression(G) = (x^2/4 - y^2 = 1);Expression(H) = (y = m + x);NumIntersection(H, G)=2",Range(m),"{(sqrt(3),+oo),(-oo,-sqrt(3))}","[[[11, 39]], [[1, 10]], [[47, 52]], [[11, 39]], [[1, 10]], [[1, 45]]]","[[[47, 59]]]"
