id,text,fact_expressions,query_expressions,answer_expressions,fact_spans,query_spans
3744,椭圆$C$: $\frac{y^{2}}{3}+\frac{x^{2}}{2}=1$的离心率为?,C: Ellipse;Expression(C) = (x^2/2 + y^2/3 = 1),Eccentricity(C),sqrt(3)/3,"[[[0, 42]], [[0, 42]]]","[[[0, 48]]]"
1546,椭圆$\frac{y^{2}}{3}+x^{2}=1$的离心率为?,G: Ellipse;Expression(G) = (x^2 + y^2/3 = 1),Eccentricity(G),sqrt(6)/3,"[[[0, 27]], [[0, 27]]]","[[[0, 33]]]"
5676,椭圆$\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$的离心率为$\frac{\sqrt{3}}{2}$，短轴长为$4$，则椭圆的方程为?,G: Ellipse;b: Number;a: Number;a > b;b > 0;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);Eccentricity(G) = sqrt(3)/2;Length(MinorAxis(G))=4,Expression(G),x^2/16+y^2/4=1,"[[[0, 52], [87, 89]], [[2, 52]], [[2, 52]], [[2, 52]], [[2, 52]], [[0, 52]], [[0, 77]], [[0, 85]]]","[[[87, 94]]]"
776,椭圆$\frac{x^{2}}{2}+\frac{y^{2}}{4}=1$的焦距是?,G: Ellipse;Expression(G) = (x^2/2 + y^2/4 = 1),FocalLength(G),2*sqrt(2),"[[[0, 37]], [[0, 37]]]","[[[0, 42]]]"
3944,椭圆$\frac{x^{2}}{8}+\frac{y^{2}}{4}=1$的离心率为?,G: Ellipse;Expression(G) = (x^2/8 + y^2/4 = 1),Eccentricity(G),sqrt(2)/2,"[[[0, 37]], [[0, 37]]]","[[[0, 43]]]"
13627,双曲线$\frac{x^{2}}{m}-\frac{y^{2}}{3}=1$的离心率为$2$，则$m$=?,G: Hyperbola;m: Number;Expression(G) = (-y^2/3 + x^2/m = 1);Eccentricity(G) = 2,m,1,"[[[0, 38]], [[48, 51]], [[0, 38]], [[0, 46]]]","[[[48, 53]]]"
13425,椭圆$\frac{x^{2}}{25}+\frac{y^{2}}{9}=1$的离心率为?,G: Ellipse;Expression(G) = (x^2/25 + y^2/9 = 1),Eccentricity(G),4/5,"[[[0, 38]], [[0, 38]]]","[[[0, 44]]]"
1236,椭圆$\frac{x^{2}}{2}+\frac{y^{2}}{3}=1$的焦点坐标是?,G: Ellipse;Expression(G) = (x^2/2 + y^2/3 = 1),Coordinate(Focus(G)),"(0, pm*1)","[[[0, 37]], [[0, 37]]]","[[[0, 44]]]"
21,若焦点在$x$轴上的椭圆$x^{2}+\frac{y^{2}}{m}=1$的离心率为$\frac{\sqrt{3}}{2}$，则$m$的值是?,"C: Ellipse;PointOnCurve(Focus(C), xAxis);m: Number;Expression(C) = (x**2 + y**2/m = 1);Eccentricity(C) = sqrt(3)/2",m,1/4,"[[[10, 37]], [[1, 37]], [[64, 67]], [[10, 37]], [[10, 62]]]","[[[64, 71]]]"
1105,双曲线$y^{2}-\frac{x^{2}}{3}=1$的焦距长为?,G: Hyperbola;Expression(G) = (-x^2/3 + y^2 = 1),FocalLength(G),4,"[[[0, 28]], [[0, 28]]]","[[[0, 34]]]"
11042,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0 , b>0)$的焦点到一条渐近线的距离等于实轴长，那么该双曲线 的离心率为?","G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Distance(Focus(G), OneOf(Asymptote(G))) = Length(RealAxis(G))",Eccentricity(G),sqrt(5),"[[[2, 59], [80, 83]], [[5, 59]], [[5, 59]], [[5, 59]], [[5, 59]], [[2, 59]], [[2, 76]]]","[[[80, 90]]]"
12267,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的一条渐近线经过点$(4,4 \sqrt{3})$, 则该双曲线的离心率为?","G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;PointOnCurve(H, OneOf(Asymptote(G)));H: Point;Coordinate(H) = (4, 4*sqrt(3))",Eccentricity(G),2,"[[[2, 58], [87, 90]], [[2, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 83]], [[66, 83]], [[66, 83]]]","[[[87, 96]]]"
4193,已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1$的一条渐近线为$y=2 x$，则双曲线的离心率为?,G: Hyperbola;b: Number;a: Number;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(OneOf(Asymptote(G)))=(y=2*x),Eccentricity(G),sqrt(5),"[[[2, 48], [64, 67]], [[5, 48]], [[5, 48]], [[2, 48]], [[2, 62]]]","[[[64, 73]]]"
2213,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的一条渐近线过点$(2, \sqrt{3})$，则双曲线的离心率为?","G: Hyperbola;b: Number;a: Number;H: Point;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Coordinate(H) = (2, sqrt(3));PointOnCurve(H, OneOf(Asymptote(G)))",Eccentricity(G),sqrt(7)/2,"[[[2, 58], [83, 86]], [[5, 58]], [[5, 58]], [[65, 81]], [[5, 58]], [[5, 58]], [[2, 58]], [[65, 81]], [[2, 81]]]","[[[83, 92]]]"
7856,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的焦点到一条渐近线的距离等于实轴长，那么该双曲线的离心率?","G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Distance(Focus(G),OneOf(Asymptote(G))) = Length(RealAxis(G))",Eccentricity(G),sqrt(5),"[[[2, 58], [79, 82]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 58]], [[2, 75]]]","[[[79, 87]]]"
9999,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的实轴长为$2$，虚轴长为$4$，则该双曲线的焦距为?",G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Length(RealAxis(G))=2;Length(ImageinaryAxis(G)) = 4,FocalLength(G),2*sqrt(5),"[[[2, 58], [77, 80]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 58]], [[2, 66]], [[2, 74]]]","[[[77, 85]]]"
6370,已知双曲线$\frac{y^{2}}{a^{2}}-\frac{x^{2}}{b^{2}}=1$的一条渐近线方程为$y=\frac{4}{3} x$，则双曲线的离心率为?,G: Hyperbola;Expression(G) = (-x^2/b^2 + y^2/a^2 = 1);b: Number;a: Number;Expression(OneOf(Asymptote(G))) = (y = (4/3)*x),Eccentricity(G),5/4,"[[[2, 48], [76, 79]], [[2, 48]], [[5, 48]], [[5, 48]], [[2, 74]]]","[[[76, 85]]]"
4706,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0 , b>0)$的焦点到渐近线的距离是$a$，则双曲线的离心率的值是?","G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Distance(Focus(G),Asymptote(G)) = a",Eccentricity(G),sqrt(2),"[[[2, 59], [75, 78]], [[5, 59]], [[70, 73]], [[5, 59]], [[5, 59]], [[2, 59]], [[2, 73]]]","[[[75, 86]]]"
8211,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0 , b>0)$的一条渐近线方程为$x-2 y=0$，则该双曲线的离心率为?",G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(OneOf(Asymptote(G))) = (x - 2*y = 0),Eccentricity(G),sqrt(5)/2,"[[[2, 59], [80, 83]], [[5, 59]], [[5, 59]], [[5, 59]], [[5, 59]], [[2, 59]], [[2, 77]]]","[[[80, 89]]]"
113,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的一条渐近线经过点$(1,2)$，则该双曲线的离心率为?","G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;PointOnCurve(H, OneOf(Asymptote(G)));H: Point;Coordinate(H) = (1, 2)",Eccentricity(G),sqrt(5),"[[[2, 58], [77, 80]], [[2, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 74]], [[66, 74]], [[66, 74]]]","[[[77, 86]]]"
2717,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的一条渐近线方程为$y=2 x$，则该双曲线的离心率为?",G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(OneOf(Asymptote(G)))=(y=2*x),Eccentricity(G),sqrt(5),"[[[2, 58], [77, 80]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 58]], [[2, 74]]]","[[[77, 86]]]"
8069,"若抛物线$x^{2}=4 y$的焦点到双曲线$C$: $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的渐近线距离等于$\frac{1}{3}$，则双曲线$C$的离心率为?","C: Hyperbola;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;G: Parabola;Expression(G) = (x^2 = 4*y);Distance(Focus(G), Asymptote(C)) = 1/3",Eccentricity(C),3,"[[[19, 80], [103, 109]], [[19, 80]], [[27, 80]], [[27, 80]], [[27, 80]], [[27, 80]], [[1, 15]], [[1, 15]], [[1, 101]]]","[[[103, 115]]]"
5694,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的离心率为$2$，焦点到渐近线的距离为$\sqrt{3}$，则此双曲线的焦距等于?","G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Eccentricity(G) = 2;Distance(Focus(G),Asymptote(G))=sqrt(3)",FocalLength(G),4,"[[[2, 58], [90, 93]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 58]], [[2, 66]], [[2, 87]]]","[[[90, 99]]]"
10036,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的离心率为$\sqrt{2}$，且过点$(3,1)$，则双曲线的焦距等于?","G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;Eccentricity(G) = sqrt(2);H: Point;Coordinate(H) = (3, 1);PointOnCurve(H, G)",FocalLength(G),8,"[[[2, 58], [86, 89]], [[2, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 73]], [[76, 84]], [[76, 84]], [[2, 84]]]","[[[86, 95]]]"
10817,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0 , b>0)$的一条渐近线经过点$(1,2)$，则该双曲线的离心率的值为?","G: Hyperbola;b: Number;a: Number;H: Point;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Coordinate(H) = (1, 2);PointOnCurve(H,OneOf(Asymptote(G)))",Eccentricity(G),sqrt(5),"[[[2, 59], [78, 81]], [[5, 59]], [[5, 59]], [[67, 75]], [[5, 59]], [[5, 59]], [[2, 59]], [[67, 75]], [[2, 75]]]","[[[78, 89]]]"
2726,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的焦点到渐近线的距离为$\frac{a^{2}}{b}$，则该双曲线的离心率为?","G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Distance(Focus(G),Asymptote(G))= a^2/b",Eccentricity(G),sqrt(2),"[[[2, 58], [89, 92]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 58]], [[2, 86]]]","[[[89, 98]]]"
2419,"已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的一条渐近线方程为$y=x$，则双曲线的离心率为?",G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(OneOf(Asymptote(G))) = (y = x),Eccentricity(G),sqrt(2),"[[[2, 58], [74, 77]], [[5, 58]], [[5, 58]], [[5, 58]], [[5, 58]], [[2, 58]], [[2, 72]]]","[[[74, 83]]]"
11689,"抛物线$x^{2}=ay$过点$A(1, \frac{1}{4})$，则点$A$到此抛物线的焦点的距离为?","G: Parabola;a: Number;A: Point;Expression(G) = (x^2 = a*y);Coordinate(A) = (1, 1/4);PointOnCurve(A, G)","Distance(A, Focus(G))",5/4,"[[[0, 13], [42, 45]], [[3, 13]], [[14, 34], [36, 40]], [[0, 13]], [[14, 34]], [[0, 34]]]","[[[36, 53]]]"
9213,"抛物线$x^{2}=a y$过点$A(1, \frac{1}{4})$，则点$A$到此抛物线的焦点的距离为?","G: Parabola;Expression(G) = (x^2 = a*y);a: Number;A: Point;Coordinate(A) = (1, 1/4);PointOnCurve(A, G)","Distance(A, Focus(G))",5/4,"[[[0, 14], [43, 46]], [[0, 14]], [[3, 14]], [[15, 35], [37, 41]], [[15, 35]], [[0, 35]]]","[[[37, 54]]]"
5491,双曲线$\frac{x^{2}}{m-1}-\frac{y^{2}}{m+1}=1$的离心率为$\frac{3}{2}$，则实数$m$的值为?,G: Hyperbola;Expression(G) = (x^2/(m - 1) - y^2/(m + 1) = 1);m: Real;Eccentricity(G) = 3/2,m,pm*9,"[[[0, 42]], [[0, 42]], [[62, 67]], [[0, 60]]]","[[[62, 71]]]"
4627,双曲线$\frac{x^{2}}{3}-y^{2}=1$的虚轴长为?,G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1),Length(ImageinaryAxis(G)),2,"[[[0, 28]], [[0, 28]]]","[[[0, 34]]]"
9992,椭圆$\frac{x^{2}}{2}+y^{2}=1$的左焦点的坐标为?,G: Ellipse;Expression(G) = (x^2/2 + y^2 = 1),Coordinate(LeftFocus(G)),"(-1, 0)","[[[0, 27]], [[0, 27]]]","[[[0, 36]]]"
8361,椭圆$\frac{x^{2}}{5}+\frac{y^{2}}{m}=1$的离心率$e=\frac{\sqrt{15}}{5}$，则$m$=?,G: Ellipse;m: Number;Expression(G) = (x^2/5 + y^2/m = 1);Eccentricity(G) = e ;e:Number;e= sqrt(15)/5,m,"{2,25/2}","[[[0, 37]], [[66, 69]], [[0, 37]], [[0, 64]], [[41, 64]], [[41, 64]]]","[[[66, 71]]]"
13778,双曲线$\frac{x^{2}}{3}-\frac{y^{2}}{1}=1$的焦点到渐近线的距离为?,G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1),"Distance(Focus(G), Asymptote(G))",1,"[[[0, 38]], [[0, 38]]]","[[[0, 50]]]"
1769,双曲线$\frac{x^{2}}{3}-y^{2}=1$的焦点坐标是?,G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1),Coordinate(Focus(G)),"(pm*2, 0)","[[[0, 28]], [[0, 28]]]","[[[0, 35]]]"
2019,双曲线$\frac{y^{2}}{3}-\frac{x^{2}}{2}=1$的焦点坐标为?,G: Hyperbola;Expression(G) = (-x^2/2 + y^2/3 = 1),Coordinate(Focus(G)),"(0,pm*sqrt(5))","[[[0, 38]], [[0, 38]]]","[[[0, 45]]]"
5363,若椭圆$\frac{x^{2}}{m}+\frac{y^{2}}{2}=1$的离心率为$\frac{\sqrt{2}}{2}$，则$m$=?,G: Ellipse;m: Number;Expression(G) = (y^2/2 + x^2/m = 1);Eccentricity(G) = sqrt(2)/2,m,"{4, 1}","[[[1, 38]], [[65, 68]], [[1, 38]], [[1, 63]]]","[[[65, 70]]]"
13720,双曲线$\frac{x^{2}}{a^{2}}-y^{2}=1(a>0)$的一条准线方程为$x=\frac{3}{2}$，则其离心率为?,G: Hyperbola;a: Number;a>0;Expression(G) = (-y^2 + x^2/a^2 = 1);Expression(OneOf(Directrix(G))) = (x = 3/2),Eccentricity(G),,"[[[0, 37], [62, 63]], [[3, 37]], [[3, 37]], [[0, 37]], [[0, 60]]]","[[[62, 68]]]"
9046,双曲线$\frac{x^{2}}{3}-y^{2}=1$的左焦点坐标是?,G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1),Coordinate(LeftFocus(G)),"(-2, 0)","[[[0, 28]], [[0, 28]]]","[[[0, 36]]]"
6988,若椭圆$C$: $\frac{x^{2}}{m+1}+\frac{y^{2}}{m}=1(m>0)$的离心率为$\frac{\sqrt{3}}{3}$，则$m$=?,C: Ellipse;m: Number;m>0;Expression(C) = (x^2/(m + 1) + y^2/m = 1);Eccentricity(C) = sqrt(3)/3,m,2,"[[[1, 50]], [[77, 80]], [[8, 50]], [[1, 50]], [[1, 75]]]","[[[77, 82]]]"
2121,双曲线$\frac{x^{2}}{3}-\frac{y^{2}}{2}=1$的焦距为?,G: Hyperbola;Expression(G) = (x^2/3 - y^2/2 = 1),FocalLength(G),2*sqrt(5),"[[[0, 38]], [[0, 38]]]","[[[0, 43]]]"
5072,椭圆$\frac{x^{2}}{5}+\frac{y^{2}}{m}=1$的焦点坐标是?,G: Ellipse;m: Number;Expression(G) = (x^2/5 + y^2/m = 1),Coordinate(Focus(G)),,"[[[0, 37]], [[2, 37]], [[0, 37]]]","[[[0, 44]]]"
10564,椭圆$\frac{x^{2}}{5}+\frac{y^{2}}{m}=1$的离心率为$\frac{\sqrt{10}}{5}$，则实数$m$的值为?,G: Ellipse;m: Real;Expression(G) = (x^2/5 + y^2/m = 1);Eccentricity(G) = sqrt(10)/5,m,"3, 25/3","[[[0, 37]], [[65, 70]], [[0, 37]], [[0, 63]]]","[[[65, 74]]]"
8554,椭圆$\frac{x^{2}}{100}+\frac{y^{2}}{64}=1$的焦点坐标是?,G: Ellipse;Expression(G) = (x^2/100 + y^2/64 = 1),Coordinate(Focus(G)),"(pm*6,0)","[[[0, 40]], [[0, 40]]]","[[[0, 47]]]"
8553,椭圆$\frac{x^{2}}{2}+y^{2}=1$的焦距长为?,C:Ellipse;Expression(C)=(x^2/2+y^2=1),FocalLength(C),2,"[[[0, 27]], [[0, 27]]]","[[[0, 33]]]"
10974,双曲线$\frac{x^{2}}{m}-\frac{y^{2}}{n}=1  (m n \neq 0)$的离心率为$2$，则$\frac{m}{n}$的值为?,G: Hyperbola;m: Number;n: Number;Expression(G) = (-y^2/n + x^2/m = 1);Eccentricity(G) = 2;Negation(m*n=0),m/n,"{3,1/3}","[[[0, 52]], [[3, 52]], [[3, 52]], [[0, 52]], [[0, 60]], [[3, 52]]]","[[[62, 79]]]"
4288,双曲线$\frac{x^{2}}{4}-y^{2}=1$的实轴长为?,G: Hyperbola;Expression(G) = (x^2/4 - y^2 = 1),Length(RealAxis(G)),4,"[[[0, 28]], [[0, 28]]]","[[[0, 34]]]"
9172,椭圆$\frac{x^{2}}{t}+y^{2}=1(t>1)$的一焦点与短轴两端点形成的三角形的面积为$1$，则$t$=?,"G: Ellipse;t: Number;t>1;Expression(G) = (y^2 + x^2/t = 1);F:Point;A:Point;B:Point;OneOf(Focus(G))=F;Endpoint(MinorAxis(G))={A,B};Area(TriangleOf(F,A,B))=1",t,2,"[[[0, 32]], [[57, 60]], [[2, 32]], [[0, 32]], [], [], [], [[0, 36]], [[0, 42]], [[0, 55]]]","[[[57, 62]]]"
12970,椭圆$\frac{x^{2}}{10}+\frac{y^{2}}{11}=1$的焦点为?长轴长为?,G: Ellipse;Expression(G) = (x^2/10 + y^2/11 = 1),Coordinate(Focus(G));Length(MajorAxis(G)),"(pm*1,0)
2*sqrt(11)","[[[0, 39]], [[0, 39]]]","[[[0, 44]], [[0, 49]]]"
224,双曲线$\frac{x^{2}}{2}-y^{2}=1$的焦距为?,G: Hyperbola;Expression(G) = (x^2/2 - y^2 = 1),FocalLength(G),2*sqrt(3),"[[[0, 28]], [[0, 28]]]","[[[0, 33]]]"
10747,双曲线$C$: $\frac{x^{2}}{2}-y^{2}=1$的离心率为?,C: Hyperbola;Expression(C) = (x^2/2 - y^2 = 1),Eccentricity(C),sqrt(6)/2,"[[[0, 33]], [[0, 33]]]","[[[0, 39]]]"
13889,双曲线$\frac{x^{2}}{4}-y^{2}=1$的渐近线为?,G: Hyperbola;Expression(G) = (x^2/4 - y^2 = 1),Expression(Asymptote(G)),y=(pm*1/2)*x,"[[[0, 28]], [[0, 28]]]","[[[0, 34]]]"
5035,椭圆$\frac{x^{2}}{2}+y^{2}=1$的一个短轴端点到一个焦点的距离为?,G: Ellipse;Expression(G) = (x^2/2 + y^2 = 1),"Distance(OneOf(Endpoint(MinorAxis(G))), OneOf(Focus(G)))",sqrt(2),"[[[0, 27]], [[0, 27]]]","[[[0, 44]]]"
2655,双曲线$\frac{x^{2}}{3}-y^{2}=1$的焦点到渐近线的距离为?,G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1),"Distance(Focus(G), Asymptote(G))",1,"[[[0, 28]], [[0, 28]]]","[[[0, 40]]]"
7758,双曲线$\frac{x^{2}}{3}-y^{2}=1$的离心率是?,G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1),Eccentricity(G),2*sqrt(3)/3,"[[[0, 28]], [[0, 28]]]","[[[0, 34]]]"
3353,椭圆$\frac{x^{2}}{16}+\frac{y^{2}}{32}=1$的焦距为?,G: Ellipse;Expression(G) = (x^2/16 + y^2/32 = 1),FocalLength(G),8,"[[[0, 39]], [[0, 39]]]","[[[0, 44]]]"
7436,椭圆$\frac{x^{2}}{16}+\frac{y^{2}}{8}=1$的焦点坐标为?,G: Ellipse;Expression(G) = (x^2/16 + y^2/8 = 1),Coordinate(Focus(G)),"(pm*2*sqrt(2), 0)","[[[0, 38]], [[0, 38]]]","[[[0, 45]]]"
7893,已知椭圆$\frac{x^{2}}{8}+\frac{y^{2}}{m^{2}}=1$，其焦点在$x$轴上，则其焦距为?,"G: Ellipse;m: Number;Expression(G) = (x^2/8 + y^2/m^2 = 1);PointOnCurve(Focus(G), xAxis)",FocalLength(G),2*sqrt(8-m^2),"[[[2, 43], [44, 45], [55, 56]], [[4, 43]], [[2, 43]], [[44, 53]]]","[[[55, 60]]]"
4858,若椭圆$\frac{x^{2}}{m}+\frac{y^{2}}{4}=1$的焦点在$x$轴上，焦距为$2$，则实数$m$的值为?,"G: Ellipse;m: Real;Expression(G) = (y^2/4 + x^2/m = 1);PointOnCurve(Focus(G), xAxis);FocalLength(G) = 2",m,5,"[[[1, 38]], [[56, 61]], [[1, 38]], [[1, 47]], [[1, 54]]]","[[[56, 65]]]"
4651,设双曲线$m x^{2}+n y^{2}=1$的一个焦点与抛物线$y=\frac{1}{8} x^{2}$的焦点相同，离心率为$2$，则抛物线的焦点到双曲线的一条渐近线的距离为?,G: Hyperbola;m: Number;n: Number;H: Parabola;Expression(G) = (m*x^2 + n*y^2 = 1);Expression(H) = (y = x^2/8);OneOf(Focus(G)) = Focus(H);Eccentricity(G)=2,"Distance(Focus(H),OneOf(Asymptote(G)))",,"[[[1, 23], [75, 78]], [[4, 23]], [[4, 23]], [[29, 53], [68, 71]], [[1, 23]], [[29, 53]], [[1, 58]], [[1, 66]]]","[[[68, 89]]]"
